[774145.003623, 754355.343512]
[718545.034339, 790722.630853]
[723497.623995, 765090.345027]
[607465.523483, 780484.39365]
[638707.106332, 707083.703186]
[631515.313906, 759072.722793]
[641324.527385, 701207.207177]
[697155.943678, 790626.66502]
[673251.042846, 789691.468569]
[762373.194775, 766736.817652]
[757192.921476, 760365.439014]
[731543.700503, 735911.086746]
[769796.43421, 783256.112709]
[733026.466707, 789040.406251]
[663677.039742, 857714.309019]
[615266.981201, 828331.828974]
[622835.110227, 808485.718373]
[622865.217155, 808444.321347]
[657123.137853, 829822.12191]
[605233.847445, 831955.950432]
[723563.4829, 807968.255548]
[713001.596221, 807351.063524]
[701882.731374, 802818.089177]
[767954.266553, 864016.065386]
[743048.310365, 813592.606035]
[795259.368566, 832996.521131]
[783890.23988, 806146.786404]
[779208.612576, 775537.449043]
[796943.474851, 877761.759701]
[705264.691539, 688825.369016]
[659077.651327, 719035.769929]
[663191.780535, 697742.962911]
[695485.819075, 699110.692036]
[691182.552468, 693817.971102]
[669875.677379, 673503.676578]
[701652.32353, 712833.313737]
[671107.415151, 717638.341543]
[663246.4897, 733361.755564]
[654472.702753, 732849.052532]
[700122.030029, 779920.818098]
[679432.586945, 738033.918255]
[729532.114014, 724212.820057]
[722804.449838, 754152.801383]
[713360.08484, 731848.656372]
[709471.044768, 706421.399599]
[726888.879785, 724680.192638]
[728011.199227, 756655.354902]
[727873.644755, 756520.926668]
[794704.7976, 737413.360012]
[748356.756131, 701494.448511]
[748494.310603, 788813.402089]
[724203.441343, 791339.402393]
[759278.268584, 798487.54558]
[617456.596678, 601346.256432]
[572193.847454, 630952.089458]
[576225.64507, 610085.392222]
[554781.444908, 630873.96572]
[607873.41815, 611425.750472]
[603656.268136, 606238.947004]
[613916.51906, 624873.756274]
[583982.872702, 629582.626286]
[576279.2594, 644991.384728]
[567681.052706, 644488.941864]
[558629.421964, 640798.744122]
[612416.849658, 690618.711396]
[592141.44189, 649570.04851]
[641238.381628, 636025.536914]
[634645.350876, 665366.361966]
[625389.98568, 643508.565544]
[621578.772736, 618590.156798]
[638648.04357, 636483.556476]
[639747.903254, 667818.834604]
[639613.10151, 667687.096536]
[659686.306662, 613761.803422]
[659821.108406, 699333.337778]
[636016.345886, 701808.787986]
[670389.258768, 708813.88316]
